Customer ID,Feedback Channel,Rating,Comment,Date,Cleaned_Comment,Sentiment,Customer Segment
C12428,Survey,5,Had some issues with the order.,2024-10-30,had some issues with the order,Neutral,Neutral Customers
C12386,Email,1,The product met my expectations.,2024-10-29,the product met my expectations,Neutral,Neutral Customers
C12378,Email,5,Quick delivery and good quality.,2024-11-01,quick delivery and good quality,Positive,Loyal Customers
C12391,Survey,5,The product met my expectations.,2024-10-24,the product met my expectations,Neutral,Neutral Customers
C12419,Email,5,Could improve product quality.,2024-10-30,could improve product quality,Neutral,Neutral Customers
C12415,Survey,1,Could improve product quality.,2024-10-07,could improve product quality,Neutral,Neutral Customers
C12359,Email,1,Had some issues with the order.,2024-10-30,had some issues with the order,Neutral,Neutral Customers
C12349,Email,5,The service was great!,2024-10-19,the service was great,Positive,Loyal Customers
C12434,Social Media,2,Very satisfied with my experience.,2024-10-28,very satisfied with my experience,Positive,Neutral Customers
C12383,Email,4,Will definitely recommend to others.,2024-10-29,will definitely recommend to others,Neutral,Neutral Customers
C12409,Email,2,Not worth the price.,2024-10-29,not worth the price,Negative,Dissatisfied Customers
C12377,Survey,5,Could improve product quality.,2024-10-26,could improve product quality,Neutral,Neutral Customers
C12399,Survey,5,Not worth the price.,2024-11-01,not worth the price,Negative,Neutral Customers
C12365,Social Media,5,Not worth the price.,2024-10-10,not worth the price,Negative,Neutral Customers
C12418,Email,5,Could improve product quality.,2024-10-05,could improve product quality,Neutral,Neutral Customers
C12418,Email,5,The product met my expectations.,2024-10-31,the product met my expectations,Neutral,Neutral Customers
C12423,Social Media,5,Quick delivery and good quality.,2024-10-24,quick delivery and good quality,Positive,Loyal Customers
C12348,Survey,1,Very satisfied with my experience.,2024-10-24,very satisfied with my experience,Positive,Neutral Customers
C12435,Social Media,5,Very satisfied with my experience.,2024-10-15,very satisfied with my experience,Positive,Loyal Customers
C12364,Social Media,3,I am unhappy with my purchase.,2024-10-17,i am unhappy with my purchase,Negative,Neutral Customers
C12381,Email,5,The service was great!,2024-10-20,the service was great,Positive,Loyal Customers
C12400,Survey,5,The product met my expectations.,2024-10-12,the product met my expectations,Neutral,Neutral Customers
C12354,Social Media,4,Had some issues with the order.,2024-10-13,had some issues with the order,Neutral,Neutral Customers
C12346,Social Media,3,The product met my expectations.,2024-10-19,the product met my expectations,Neutral,Neutral Customers
C12418,Survey,1,I am unhappy with my purchase.,2024-10-23,i am unhappy with my purchase,Negative,Dissatisfied Customers
C12348,Email,2,Had some issues with the order.,2024-10-23,had some issues with the order,Neutral,Neutral Customers
C12440,Social Media,3,Customer support was very helpful.,2024-10-28,customer support was very helpful,Positive,Neutral Customers
C12419,Email,1,Quick delivery and good quality.,2024-10-16,quick delivery and good quality,Positive,Neutral Customers
C12378,Survey,2,Could improve product quality.,2024-10-11,could improve product quality,Neutral,Neutral Customers
C12443,Survey,2,The product met my expectations.,2024-10-31,the product met my expectations,Neutral,Neutral Customers
C12388,Email,5,Could improve product quality.,2024-10-09,could improve product quality,Neutral,Neutral Customers
C12345,Social Media,2,Very satisfied with my experience.,2024-10-18,very satisfied with my experience,Positive,Neutral Customers
C12408,Social Media,4,Quick delivery and good quality.,2024-10-16,quick delivery and good quality,Positive,Loyal Customers
